**********************************
0	12	24	
1	9	15	
0	13	5	
2	10	5	
3	4	12	
11	6	29	
12	11	29	
14	9	19	
17	11	28	
17	17	42	
21	23	67	
15	42	81	
22	24	82	
25	15	89	
17	9	97	
23	9	108	
20	12	147	
18	8	182	
22	7	200	
20	10	212	
35	11	206	
87	27	205	
115	32	169	
107	82	159	
110	114	127	
120	105	103	
138	83	108	
215	108	109	
269	148	126	
321	179	92	
283	282	83	
182	335	82	
129	306	72	
123	195	71	
104	144	54	
89	109	71	
88	96	74	
91	78	83	
89	91	94	
75	96	84	
57	68	77	
65	74	61	
48	72	61	
48	62	40	
48	48	50	
49	39	57	
38	35	55	
28	52	47	
25	38	61	
19	22	41	
23	25	47	
20	18	54	
10	33	51	
14	18	39	
14	24	45	
6	13	65	
7	25	58	
9	15	87	
9	15	126	
6	9	142	
8	8	183	
2	9	225	
4	9	217	
7	22	235	
8	8	198	
8	12	182	
12	14	172	
11	14	121	
10	21	109	
10	9	93	
14	25	88	
8	24	79	
8	28	61	
18	25	38	
15	36	33	
12	31	40	
12	45	41	
12	35	27	
20	42	30	
8	46	29	
18	38	19	
10	47	21	
21	49	20	
19	49	21	
15	51	18	
12	52	16	
9	38	17	
12	40	16	
11	32	17	
10	36	10	
7	39	10	
8	44	13	
11	51	10	
12	45	14	
15	34	13	
10	30	13	
9	30	16	
17	49	10	
8	35	13	
15	20	9	
18	32	17	
17	41	9	
21	54	16	
24	68	4	
25	102	13	
38	151	11	
21	188	13	
36	191	16	
39	235	11	
37	231	12	
44	231	24	
57	189	9	
46	173	19	
49	177	17	
48	144	13	
38	147	27	
42	112	21	
52	82	12	
47	59	12	
53	49	16	
43	36	13	
60	32	22	
47	28	25	
47	23	27	
59	19	25	
71	19	25	
97	20	28	
85	40	30	
86	37	40	
80	40	40	
69	44	47	
98	35	42	
60	39	64	
64	29	48	
44	31	52	
81	30	49	
103	46	29	
114	33	28	
162	23	33	
160	26	39	
212	21	48	
190	18	27	
209	23	45	
205	35	27	
198	53	20	
201	51	28	
178	63	22	
154	71	24	
176	82	28	
175	90	35	
161	79	31	
142	64	33	
133	62	33	
123	61	41	
78	44	37	
59	47	30	
48	34	32	
35	29	41	
31	48	45	
33	23	43	
24	37	72	
21	41	71	
33	41	72	
45	29	57	
26	28	41	
32	21	33	
20	19	37	
22	21	35	
27	17	50	
28	29	26	
35	37	26	
20	29	32	
20	34	22	
20	30	31	
21	36	35	
13	29	41	
19	19	60	
20	31	64	
26	25	45	
24	22	40	
29	17	38	
21	41	10	
28	62	16	
47	52	26	
59	40	20	
85	35	14	
89	34	24	
75	47	13	
67	43	32	
66	56	16	
77	75	31	
87	62	37	
91	64	27	
73	57	47	
75	71	52	
73	71	60	
82	105	67	
93	98	98	
102	93	133	
86	103	161	
132	118	169	
115	137	174	
113	123	202	
188	167	172	
154	165	225	
194	191	265	
208	213	285	
273	280	319	
314	289	325	
334	333	327	
376	351	431	
446	354	405	
675	431	310	
749	372	294	
716	331	226	
447	354	188	
291	467	200	
350	601	157	
370	615	167	
362	466	201	
367	520	242	
351	492	356	
374	453	448	
502	497	560	
671	644	484	
692	768	523	
602	680	521	
455	478	485	
171	251	440	
120	116	550	
102	105	700	
102	126	770	
100	119	585	
86	155	294	
100	100	130	
109	112	52	
156	159	40	
175	169	50	
102	60	45	
59	22	35	
34	6	37	
19	6	19	
11	2	28	
4	0	11	
4	1	8	
1	1	4	
0	2	1	
1	1	0	
0	2	1	
1	0	1	
0	1	2	
0	1	0	
0	0	0	
0	0	1	
0	0	0	
0	0	0	
